"YEAR","MONTH","DAY","STID","TAVG","HAVG","RAIN"
1998,5,16,WIST,68.95,68.98,0.00
1998,5,17,GOOD,75.86,43.11,0.00
1998,5,17,MIAM,73.58,65.79,0.00
1998,5,17,TIPT,80.14,56.78,0.00
1998,5,17,WIST,70.62,74.92,0.00
1998,5,18,GOOD,78.12,38.24,0.00
1998,5,18,MIAM,77.00,70.51,0.00
1998,5,18,TIPT,83.23,48.11,0.00
1998,5,18,WIST,74.72,73.78,0.00
1998,5,19,GOOD,75.86,39.80,0.00
1998,5,19,MIAM,77.08,77.33,0.00
1998,5,19,TIPT,83.13,43.26,0.00
1998,5,19,WIST,73.67,74.83,0.00
1998,5,20,GOOD,78.71,38.68,0.00
1998,5,20,MIAM,76.81,76.14,0.00
1998,5,20,TIPT,83.35,40.95,0.00
1998,5,20,WIST,75.82,76.12,0.00
1998,5,21,GOOD,75.49,36.24,0.00
1998,5,21,MIAM,78.85,81.76,0.00
1998,5,21,TIPT,82.04,51.31,0.00
1998,5,21,WIST,76.96,80.06,0.00
1998,5,22,GOOD,71.54,32.25,0.00
1998,5,22,MIAM,78.71,76.63,0.00
1998,5,22,TIPT,79.54,54.87,0.00
1998,5,22,WIST,80.41,68.01,0.00
1998,5,23,GOOD,66.44,59.84,0.00
1998,5,23,MIAM,75.17,80.23,0.02
1998,5,23,TIPT,78.81,49.64,0.00
1998,5,23,WIST,78.10,68.16,0.00
1998,5,24,GOOD,68.60,63.28,0.00
1998,5,24,MIAM,74.76,72.89,0.58
1998,5,24,TIPT,81.48,55.34,0.01
1998,5,24,WIST,76.03,78.14,0.00
1998,5,25,GOOD,63.84,63.78,0.00
1998,5,25,MIAM,70.08,84.83,0.92
1998,5,25,TIPT,78.25,63.32,0.19
1998,5,25,WIST,76.94,77.11,0.00
1998,5,26,GOOD,67.88,63.24,0.04
1998,5,26,MIAM,69.26,90.17,0.58
1998,5,26,TIPT,74.57,66.44,0.18
